13.1657,59.6611,"Bäckebron Järnvägsstation","Nedladdat från Koordinater.se"
12.2979,59.8843,"Charlottenberg Järnvägsstation","Nedladdat från Koordinater.se"
13.3163,59.5046,"Kil Järnvägsstation","Nedladdat från Koordinater.se"
16.3921,61.3497,"Bollnäs Järnvägsstation","Nedladdat från Koordinater.se"
15.1156,56.2309,"Bräkne-Hoby Järnvägsstation, Bräkne-Hoby","Nedladdat från Koordinater.se"
13.3536,57.536,"Limmared Järnvägsstation","Nedladdat från Koordinater.se"
17.4965,58.9456,"Vagnhärad Järnvägsstation","Nedladdat från Koordinater.se"
14.128,57.8605,"Bankeryd Järnvägsstation","Nedladdat från Koordinater.se"
15.7864,58.4364,"Linghem Järnvägsstation","Nedladdat från Koordinater.se"
11.6771,58.4648,"Munkedal Järnvägsstation","Nedladdat från Koordinater.se"
15.11,59.0666,"Hallsberg Järnvägsstation","Nedladdat från Koordinater.se"
15.2117,59.2787,"Örebro Järnvägsstation","Nedladdat från Koordinater.se"
11.5795,58.5297,"Dingle Järnvägsstation","Nedladdat från Koordinater.se"
16.321,59.451,"Kvicksund Järnvägsstation","Nedladdat från Koordinater.se"
17.1164,61.216,"Ljusne Järnvägsstation","Nedladdat från Koordinater.se"
12.9175,63.3899,"Duved Järnvägsstation","Nedladdat från Koordinater.se"
12.3921,58.3591,"Vargön Järnvägsstation","Nedladdat från Koordinater.se"
12.0187,57.6558,"Mölndal station","Nedladdat från Koordinater.se"
22.1649,65.584,"Luleå Järnvägsstation","Nedladdat från Koordinater.se"
14.6659,57.4028,"Sävsjö Järnvägsstation","Nedladdat från Koordinater.se"
17.951,58.9011,"Nynäshamn Järnvägsstation","Nedladdat från Koordinater.se"
15.6335,57.9854,"Kisa Järnvägsstation","Nedladdat från Koordinater.se"
15.3634,59.4674,"Frövi Järnvägsstation","Nedladdat från Koordinater.se"
17.3118,59.0481,"Gnesta Järnvägsstation","Nedladdat från Koordinater.se"
13.7775,57.9864,"Sandhem Järnvägsstation","Nedladdat från Koordinater.se"
15.6011,56.1826,"Bergåsa Järnvägsstation","Nedladdat från Koordinater.se"
15.841,59.3969,"Arboga Järnvägsstation","Nedladdat från Koordinater.se"
13.0088,57.8268,"Fristad Järnvägsstation","Nedladdat från Koordinater.se"
16.6065,59.925,"Sala Järnvägsstation","Nedladdat från Koordinater.se"
13.0536,57.9865,"Ljung Järnvägsstation","Nedladdat från Koordinater.se"
12.8642,56.6693,"Halmstad Järnvägsstation","Nedladdat från Koordinater.se"
13.0954,60.0627,"Badabruk Järnvägsstation","Nedladdat från Koordinater.se"
17.514,60.3452,"Tierp Järnvägsstation, Tierp","Nedladdat från Koordinater.se"
14.9756,58.038,"Tranås Järnvägsstation","Nedladdat från Koordinater.se"
15.9804,60.2742,"Hedemora Järnvägsstation, Hedemora","Nedladdat från Koordinater.se"
17.0881,59.6444,"Enköping Järnvägsstation","Nedladdat från Koordinater.se"
11.5356,58.5801,"Hällevadsholm Järnvägsstation","Nedladdat från Koordinater.se"
18.2568,59.2939,"Fisksätra Pendeltågstation","Nedladdat från Koordinater.se"
20.0417,64.7898,"Bastuträsk Järnvägsstation","Nedladdat från Koordinater.se"
17.6468,59.1793,"Södertälje Hamn Pendeltågstation","Nedladdat från Koordinater.se"
13.0152,57.8832,"Borgstena Järnvägsstation","Nedladdat från Koordinater.se"
12.3374,57.2671,"Veddige Järnvägsstation","Nedladdat från Koordinater.se"
16.0963,61.8272,"Ljusdal Järnvägsstation","Nedladdat från Koordinater.se"
13.5519,58.1752,"Falköping Järnvägsstation","Nedladdat från Koordinater.se"
13.8519,58.3896,"Skövde Järnvägsstation","Nedladdat från Koordinater.se"
15.6577,62.5243,"Ånge Järnvägsstation","Nedladdat från Koordinater.se"
15.0823,57.4259,"Vetlanda Järnvägsstation","Nedladdat från Koordinater.se"
12.9909,55.548,"Malmö Syd Järnvägsstation","Nedladdat från Koordinater.se"
15.5854,56.1663,"Karlskrona Järnvägsstation","Nedladdat från Koordinater.se"
14.1373,56.5514,"Älmhult Järnvägsstation","Nedladdat från Koordinater.se"
14.6166,58.989,"Laxå Järnvägsstation","Nedladdat från Koordinater.se"
16.2192,59.7065,"Surahammar Järnvägsstation","Nedladdat från Koordinater.se"
16.0099,59.9572,"Ängelsberg Järnvägsstation","Nedladdat från Koordinater.se"
12.6486,57.4883,"Skene Järnvägsstation","Nedladdat från Koordinater.se"
15.6535,58.4018,"Tannefors Järnvägsstation","Nedladdat från Koordinater.se"
16.0843,59.8725,"Virsbo Järnvägsstation","Nedladdat från Koordinater.se"
16.2321,59.5642,"Kolbäck Järnvägsstation","Nedladdat från Koordinater.se"
13.0388,60.13,"Oleby Järnvägsstation","Nedladdat från Koordinater.se"
16.1836,58.5964,"Norrköping Järnvägsstation","Nedladdat från Koordinater.se"
11.9956,57.6983,"Liseberg Järnvägsstation","Nedladdat från Koordinater.se"
13.1286,56.1309,"Klippan Järnvägsstation","Nedladdat från Koordinater.se"
18.0588,59.3304,"Stockholm Centralstation","Nedladdat från Koordinater.se"
14.4406,59.2291,"Degerfors Järnvägsstation","Nedladdat från Koordinater.se"
16.7778,60.6145,"Sandviken Järnvägsstation","Nedladdat från Koordinater.se"
15.4254,60.4831,"Borlänge Järnvägsstation","Nedladdat från Koordinater.se"
14.3624,60.548,"Dala-Järna Järnvägsstation","Nedladdat från Koordinater.se"
13.0008,55.6091,"Malmö Järnvägsstation","Nedladdat från Koordinater.se"
13.5404,55.9366,"Höör Järnvägsstation","Nedladdat från Koordinater.se"
13.3053,55.8374,"Eslöv Järnvägsstation","Nedladdat från Koordinater.se"
13.2325,55.5071,"Svedala Järnvägsstation","Nedladdat från Koordinater.se"
15.1827,60.1499,"Ludvika Järnvägsstation","Nedladdat från Koordinater.se"
12.2345,59.0288,"Bengtsfors Järnvägsstation","Nedladdat från Koordinater.se"
