Venue Category,Main Category,level
Campground,Outdoors & Recreation,0
Canal Lock,Outdoors & Recreation,0
Canal,Outdoors & Recreation,0
Castle,Outdoors & Recreation,0
Cave,Outdoors & Recreation,0
Cemetery,Outdoors & Recreation,0
Dive Spot,Outdoors & Recreation,0
Dog Run,Outdoors & Recreation,0
Farm,Outdoors & Recreation,0
Field,Outdoors & Recreation,0
Fishing Spot,Outdoors & Recreation,0
Forest,Outdoors & Recreation,0
Fountain,Outdoors & Recreation,0
Garden,Outdoors & Recreation,0
Gun Range,Outdoors & Recreation,0
Harbor / Marina,Outdoors & Recreation,0
Hill,Outdoors & Recreation,0
Hot Spring,Outdoors & Recreation,0
Indoor Play Area,Outdoors & Recreation,0
Island,Outdoors & Recreation,0
Lake,Outdoors & Recreation,0
Lighthouse,Outdoors & Recreation,0
Mountain Hut,Outdoors & Recreation,0
