Venue Category,Main Category,level
Tibetan Restaurant,Food,0
Tibetan Restaurant,Asian Restaurant,1
Vietnamese Restaurant,Food,0
Vietnamese Restaurant,Asian Restaurant,1
Asian Restaurant,Food,0
Australian Restaurant,Food,0
Austrian Restaurant,Food,0
BBQ Joint,Food,0
Bagel Shop,Food,0
Bakery,Food,0
Belgian Restaurant,Food,0
Bistro,Food,0
Breakfast Spot,Food,0
Bubble Tea Shop,Food,0
Buffet,Food,0
Burger Joint,Food,0
Cafeteria,Food,0
Café,Food,0
Cajun / Creole Restaurant,Food,0
Cuban Restaurant,Food,0
Cuban Restaurant,Caribbean Restaurant,1
Caribbean Restaurant,Food,0
Caucasian Restaurant,Food,0
Coffee Shop,Food,0
Comfort Food Restaurant,Food,0
Creperie,Food,0
Czech Restaurant,Food,0
Deli / Bodega,Food,0
Cupcake Shop,Food,0
Cupcake Shop,Dessert Shop,1
Frozen Yogurt Shop,Food,0
Frozen Yogurt Shop,Dessert Shop,1
Ice Cream Shop,Food,0
Ice Cream Shop,Dessert Shop,1
Pastry Shop,Food,0
Pastry Shop,Dessert Shop,1
Pie Shop,Food,0
Pie Shop,Dessert Shop,1
Dessert Shop,Food,0
Diner,Food,0
Donut Shop,Food,0
Dumpling Restaurant,Food,0
Dutch Restaurant,Food,0
Belarusian Restaurant,Food,0
Belarusian Restaurant,Eastern European Restaurant,1
Bosnian Restaurant,Food,0
Bosnian Restaurant,Eastern European Restaurant,1
Bulgarian Restaurant,Food,0
Bulgarian Restaurant,Eastern European Restaurant,1
Romanian Restaurant,Food,0
Romanian Restaurant,Eastern European Restaurant,1
Tatar Restaurant,Food,0
Tatar Restaurant,Eastern European Restaurant,1
Eastern European Restaurant,Food,0
English Restaurant,Food,0
Falafel Restaurant,Food,0
Fast Food Restaurant,Food,0
Fish & Chips Shop,Food,0
Fondue Restaurant,Food,0
Food Court,Food,0
Food Stand,Food,0
Food Truck,Food,0
Alsatian Restaurant,Food,0
Alsatian Restaurant,French Restaurant,1
Auvergne Restaurant,Food,0
Auvergne Restaurant,French Restaurant,1
Basque Restaurant,Food,0
Basque Restaurant,French Restaurant,1
Brasserie,Food,0
Brasserie,French Restaurant,1
Breton Restaurant,Food,0
Breton Restaurant,French Restaurant,1
Burgundian Restaurant,Food,0
Burgundian Restaurant,French Restaurant,1
Catalan Restaurant,Food,0
Catalan Restaurant,French Restaurant,1
Ch'ti Restaurant,Food,0
Ch'ti Restaurant,French Restaurant,1
Corsican Restaurant,Food,0
Corsican Restaurant,French Restaurant,1
Estaminet,Food,0
Estaminet,French Restaurant,1
Labour Canteen,Food,0
Labour Canteen,French Restaurant,1
Lyonese Bouchon,Food,0
Lyonese Bouchon,French Restaurant,1
Norman Restaurant,Food,0
Norman Restaurant,French Restaurant,1
Provençal Restaurant,Food,0
Provençal Restaurant,French Restaurant,1
Savoyard Restaurant,Food,0
Savoyard Restaurant,French Restaurant,1
Southwestern French Restaurant,Food,0
Southwestern French Restaurant,French Restaurant,1
French Restaurant,Food,0
Fried Chicken Joint,Food,0
Friterie,Food,0
Gastropub,Food,0
Apple Wine Pub,Food,0
Apple Wine Pub,German Restaurant,1
Bavarian Restaurant,Food,0
Bavarian Restaurant,German Restaurant,1
Bratwurst Joint,Food,0
Bratwurst Joint,German Restaurant,1
Currywurst Joint,Food,0
Currywurst Joint,German Restaurant,1
Franconian Restaurant,Food,0
Franconian Restaurant,German Restaurant,1
German Pop-Up Restaurant,Food,0
German Pop-Up Restaurant,German Restaurant,1
Palatine Restaurant,Food,0
Palatine Restaurant,German Restaurant,1
Rhenisch Restaurant,Food,0
Rhenisch Restaurant,German Restaurant,1
Schnitzel Restaurant,Food,0
Schnitzel Restaurant,German Restaurant,1
Silesian Restaurant,Food,0
Silesian Restaurant,German Restaurant,1
Swabian Restaurant,Food,0
Swabian Restaurant,German Restaurant,1
German Restaurant,Food,0
Gluten-free Restaurant,Food,0
Bougatsa Shop,Food,0
Bougatsa Shop,Greek Restaurant,1
Cretan Restaurant,Food,0
Cretan Restaurant,Greek Restaurant,1
Fish Taverna,Food,0
Fish Taverna,Greek Restaurant,1
Grilled Meat Restaurant,Food,0
Grilled Meat Restaurant,Greek Restaurant,1
Kafenio,Food,0
Kafenio,Greek Restaurant,1
Magirio,Food,0
Magirio,Greek Restaurant,1
Meze Restaurant,Food,0
Meze Restaurant,Greek Restaurant,1
Modern Greek Restaurant,Food,0
Modern Greek Restaurant,Greek Restaurant,1
Ouzeri,Food,0
Ouzeri,Greek Restaurant,1
Patsa Restaurant,Food,0
Patsa Restaurant,Greek Restaurant,1
Souvlaki Shop,Food,0
Souvlaki Shop,Greek Restaurant,1
Taverna,Food,0
Taverna,Greek Restaurant,1
Tsipouro Restaurant,Food,0
Tsipouro Restaurant,Greek Restaurant,1
Greek Restaurant,Food,0
Halal Restaurant,Food,0
Poke Place,Food,0
Poke Place,Hawaiian Restaurant,1
Hawaiian Restaurant,Food,0
Hot Dog Joint,Food,0
Hungarian Restaurant,Food,0
Andhra Restaurant,Food,0
Andhra Restaurant,Indian Restaurant,1
Awadhi Restaurant,Food,0
Awadhi Restaurant,Indian Restaurant,1
Bengali Restaurant,Food,0
Bengali Restaurant,Indian Restaurant,1
Chaat Place,Food,0
Chaat Place,Indian Restaurant,1
Chettinad Restaurant,Food,0
Chettinad Restaurant,Indian Restaurant,1
Dhaba,Food,0
Dhaba,Indian Restaurant,1
Dosa Place,Food,0
Dosa Place,Indian Restaurant,1
Goan Restaurant,Food,0
Goan Restaurant,Indian Restaurant,1
Gujarati Restaurant,Food,0
Gujarati Restaurant,Indian Restaurant,1
Hyderabadi Restaurant,Food,0
Hyderabadi Restaurant,Indian Restaurant,1
Indian Chinese Restaurant,Food,0
Indian Chinese Restaurant,Indian Restaurant,1
Indian Sweet Shop,Food,0
Indian Sweet Shop,Indian Restaurant,1
Irani Cafe,Food,0
Irani Cafe,Indian Restaurant,1
Jain Restaurant,Food,0
Jain Restaurant,Indian Restaurant,1
Karnataka Restaurant,Food,0
Karnataka Restaurant,Indian Restaurant,1
Kerala Restaurant,Food,0
Kerala Restaurant,Indian Restaurant,1
Maharashtrian Restaurant,Food,0
Maharashtrian Restaurant,Indian Restaurant,1
Mughlai Restaurant,Food,0
Mughlai Restaurant,Indian Restaurant,1
Multicuisine Indian Restaurant,Food,0
Multicuisine Indian Restaurant,Indian Restaurant,1
North Indian Restaurant,Food,0
North Indian Restaurant,Indian Restaurant,1
Northeast Indian Restaurant,Food,0
Northeast Indian Restaurant,Indian Restaurant,1
Parsi Restaurant,Food,0
Parsi Restaurant,Indian Restaurant,1
Punjabi Restaurant,Food,0
Punjabi Restaurant,Indian Restaurant,1
Rajasthani Restaurant,Food,0
Rajasthani Restaurant,Indian Restaurant,1
South Indian Restaurant,Food,0
South Indian Restaurant,Indian Restaurant,1
Udupi Restaurant,Food,0
Udupi Restaurant,Indian Restaurant,1
Indian Restaurant,Food,0
Irish Pub,Food,0
Abruzzo Restaurant,Food,0
Abruzzo Restaurant,Italian Restaurant,1
Agriturismo,Food,0
Agriturismo,Italian Restaurant,1
Aosta Restaurant,Food,0
Aosta Restaurant,Italian Restaurant,1
Basilicata Restaurant,Food,0
Basilicata Restaurant,Italian Restaurant,1
Calabria Restaurant,Food,0
Calabria Restaurant,Italian Restaurant,1
Campanian Restaurant,Food,0
Campanian Restaurant,Italian Restaurant,1
Emilia Restaurant,Food,0
Emilia Restaurant,Italian Restaurant,1
Friuli Restaurant,Food,0
Friuli Restaurant,Italian Restaurant,1
Ligurian Restaurant,Food,0
Ligurian Restaurant,Italian Restaurant,1
Lombard Restaurant,Food,0
Lombard Restaurant,Italian Restaurant,1
Malga,Food,0
Malga,Italian Restaurant,1
Marche Restaurant,Food,0
Marche Restaurant,Italian Restaurant,1
Molise Restaurant,Food,0
Molise Restaurant,Italian Restaurant,1
Piadineria,Food,0
Piadineria,Italian Restaurant,1
Piedmontese Restaurant,Food,0
Piedmontese Restaurant,Italian Restaurant,1
Puglia Restaurant,Food,0
Puglia Restaurant,Italian Restaurant,1
Romagna Restaurant,Food,0
Romagna Restaurant,Italian Restaurant,1
Roman Restaurant,Food,0
Roman Restaurant,Italian Restaurant,1
Sardinian Restaurant,Food,0
Sardinian Restaurant,Italian Restaurant,1
Sicilian Restaurant,Food,0
Sicilian Restaurant,Italian Restaurant,1
South Tyrolean Restaurant,Food,0
South Tyrolean Restaurant,Italian Restaurant,1
Trattoria/Osteria,Food,0
Trattoria/Osteria,Italian Restaurant,1
Trentino Restaurant,Food,0
Trentino Restaurant,Italian Restaurant,1
Tuscan Restaurant,Food,0
Tuscan Restaurant,Italian Restaurant,1
Umbrian Restaurant,Food,0
Umbrian Restaurant,Italian Restaurant,1
Veneto Restaurant,Food,0
Veneto Restaurant,Italian Restaurant,1
Italian Restaurant,Food,0
Kosher Restaurant,Food,0
Kosher Restaurant,Jewish Restaurant,1
Jewish Restaurant,Food,0
Juice Bar,Food,0
Kebab Restaurant,Food,0
Arepa Restaurant,Food,0
Arepa Restaurant,Latin American Restaurant,1
Empanada Restaurant,Food,0
Empanada Restaurant,Latin American Restaurant,1
Salvadoran Restaurant,Food,0
Salvadoran Restaurant,Latin American Restaurant,1
Argentinian Restaurant,Food,0
Argentinian Restaurant,Latin American Restaurant,1
Argentinian Restaurant,South American Restaurant,2
Acai House,Food,0
Acai House,Latin American Restaurant,1
Acai House,South American Restaurant,2
Acai House,Brazilian Restaurant,3
Baiano Restaurant,Food,0
Baiano Restaurant,Latin American Restaurant,1
Baiano Restaurant,South American Restaurant,2
Baiano Restaurant,Brazilian Restaurant,3
Central Brazilian Restaurant,Food,0
Central Brazilian Restaurant,Latin American Restaurant,1
Central Brazilian Restaurant,South American Restaurant,2
Central Brazilian Restaurant,Brazilian Restaurant,3
Churrascaria,Food,0
Churrascaria,Latin American Restaurant,1
Churrascaria,South American Restaurant,2
Churrascaria,Brazilian Restaurant,3
Empada House,Food,0
Empada House,Latin American Restaurant,1
Empada House,South American Restaurant,2
Empada House,Brazilian Restaurant,3
Goiano Restaurant,Food,0
Goiano Restaurant,Latin American Restaurant,1
Goiano Restaurant,South American Restaurant,2
Goiano Restaurant,Brazilian Restaurant,3
Mineiro Restaurant,Food,0
Mineiro Restaurant,Latin American Restaurant,1
Mineiro Restaurant,South American Restaurant,2
Mineiro Restaurant,Brazilian Restaurant,3
Northeastern Brazilian Restaurant,Food,0
Northeastern Brazilian Restaurant,Latin American Restaurant,1
Northeastern Brazilian Restaurant,South American Restaurant,2
Northeastern Brazilian Restaurant,Brazilian Restaurant,3
Northern Brazilian Restaurant,Food,0
Northern Brazilian Restaurant,Latin American Restaurant,1
Northern Brazilian Restaurant,South American Restaurant,2
Northern Brazilian Restaurant,Brazilian Restaurant,3
Pastelaria,Food,0
Pastelaria,Latin American Restaurant,1
Pastelaria,South American Restaurant,2
Pastelaria,Brazilian Restaurant,3
Southeastern Brazilian Restaurant,Food,0
Southeastern Brazilian Restaurant,Latin American Restaurant,1
Southeastern Brazilian Restaurant,South American Restaurant,2
Southeastern Brazilian Restaurant,Brazilian Restaurant,3
Southern Brazilian Restaurant,Food,0
Southern Brazilian Restaurant,Latin American Restaurant,1
Southern Brazilian Restaurant,South American Restaurant,2
Southern Brazilian Restaurant,Brazilian Restaurant,3
Tapiocaria,Food,0
Tapiocaria,Latin American Restaurant,1
Tapiocaria,South American Restaurant,2
Tapiocaria,Brazilian Restaurant,3
Brazilian Restaurant,Food,0
Brazilian Restaurant,Latin American Restaurant,1
Brazilian Restaurant,South American Restaurant,2
Colombian Restaurant,Food,0
Colombian Restaurant,Latin American Restaurant,1
Colombian Restaurant,South American Restaurant,2
Peruvian Restaurant,Food,0
Peruvian Restaurant,Latin American Restaurant,1
Peruvian Restaurant,South American Restaurant,2
Venezuelan Restaurant,Food,0
Venezuelan Restaurant,Latin American Restaurant,1
Venezuelan Restaurant,South American Restaurant,2
South American Restaurant,Food,0
South American Restaurant,Latin American Restaurant,1
Latin American Restaurant,Food,0
Mac & Cheese Joint,Food,0
Moroccan Restaurant,Food,0
Moroccan Restaurant,Mediterranean Restaurant,1
Mediterranean Restaurant,Food,0
Botanero,Food,0
Botanero,Mexican Restaurant,1
Burrito Place,Food,0
Burrito Place,Mexican Restaurant,1
Taco Place,Food,0
Taco Place,Mexican Restaurant,1
Tex-Mex Restaurant,Food,0
Tex-Mex Restaurant,Mexican Restaurant,1
Yucatecan Restaurant,Food,0
Yucatecan Restaurant,Mexican Restaurant,1
Mexican Restaurant,Food,0
Egyptian Restaurant,Food,0
Egyptian Restaurant,Middle Eastern Restaurant,1
Iraqi Restaurant,Food,0
Iraqi Restaurant,Middle Eastern Restaurant,1
Israeli Restaurant,Food,0
Israeli Restaurant,Middle Eastern Restaurant,1
Kurdish Restaurant,Food,0
Kurdish Restaurant,Middle Eastern Restaurant,1
Lebanese Restaurant,Food,0
Lebanese Restaurant,Middle Eastern Restaurant,1
Ash and Haleem Place,Food,0
Ash and Haleem Place,Middle Eastern Restaurant,1
Ash and Haleem Place,Persian Restaurant,2
Dizi Place,Food,0
Dizi Place,Middle Eastern Restaurant,1
Dizi Place,Persian Restaurant,2
Gilaki Restaurant,Food,0
Gilaki Restaurant,Middle Eastern Restaurant,1
Gilaki Restaurant,Persian Restaurant,2
Jegaraki,Food,0
Jegaraki,Middle Eastern Restaurant,1
Jegaraki,Persian Restaurant,2
Tabbakhi,Food,0
